hostname,RX Gain A,RX Gain B,Circular Mean (degrees),Circular Std Dev (degrees),max_i,max_q
T05,20,20,2.9304822393273695,2.635597215386325,0.0712915,0.06546244
T05,43,43,3.52794621918246,3.4840400508353078,1.0000342,0.8861692
T05,48,48,2.511172577088645,1.5730980974623796,1.0000342,1.0000342
T05,30,44,-179.5710781975165,0.965540672553065,1.0000342,0.99933225
T05,27,27,1.966848184680291,0.1695966299992918,0.14273559,0.14828998
T05,8,8,1.9963297328617469,0.18813656243821905,0.017975468,0.018067023
T05,26,26,-0.6930537266025448,3.8875355257635538,0.14661145,0.1273542
T05,30,25,3.486873873899676,0.16640322382968287,0.2157056,0.21033433
T05,31,31,1.9917165500915321,0.03167071704467297,0.23337589,0.24390481
T05,30,40,-178.46952310276788,0.30182064499611355,0.63466525,0.6209929
T05,12,12,1.8137697156501529,0.3078309420263716,0.029328395,0.029297875
T05,19,19,7.921914339790643,4.145406095921384,0.06283784,0.064516366
T05,21,21,1.9479619006669397,0.28892122407240733,0.07168824,0.073427804
T05,30,15,5.5963694002121995,0.19254655683392513,0.21121937,0.21558353
T05,38,38,2.300324882922329,0.1157882799756161,0.48341495,0.49620226
T05,17,17,-1.7742148642864868,3.352389236433885,0.05493352,0.054292627
T05,30,23,5.334157786455882,3.093892049243364,0.20807596,0.21656013
T05,30,43,-176.91828972307562,3.1085193367266166,1.0000037,0.9017642
T05,29,29,1.9996303959528148,0.43620752833368687,0.19803533,0.1834169
T05,30,31,1.9836236944659766,0.08103421004878744,0.22980522,0.24045621
T05,30,35,-173.91045483839963,3.164377829470877,0.32297856,0.3323783
T05,46,46,2.5731632352449494,2.24198665773795,1.0000342,1.0000342
T05,35,35,2.1861132355058155,0.0972814692066729,0.30881792,0.3033551
T05,30,45,-177.90531664011283,1.9263428978000903,1.0000342,1.0000037
T05,9,9,2.007230001988855,0.09651110658675527,0.019745547,0.020447476
T05,30,26,5.676108263425607,2.358167607555334,0.20697728,0.21723154
T05,37,37,2.30211243222732,0.07827072238273126,0.457291,0.44541925
T05,30,24,3.610716463477869,0.1484818581730522,0.21555302,0.20786232
T05,32,32,3.989448160220352,3.872525166891457,0.26792297,0.26310104
T05,18,18,1.2505957615617431,0.939096329397366,0.055849075,0.06314302
T05,30,33,1.938148909004499,0.14923442375146218,0.29371122,0.30039477
T05,30,36,-178.55428518631035,0.19007185213155242,0.3977492,0.40577558
T05,22,22,1.9597303564871345,0.04791502460316788,0.08059967,0.08236976
T05,30,41,-178.78696355907033,2.0074452015538733,0.77572227,0.7199648
T05,44,44,1.4946901165422197,1.394629135136358,0.9925571,0.9778776
T05,34,34,5.397026019735944,5.322519262992285,0.2578213,0.26676327
T05,30,34,-170.95747781587312,1.9724462504427527,0.29181904,0.28446406
T05,42,42,2.373376010230517,1.488273629504309,0.8663931,0.78350455
T05,30,30,1.9815567984792186,0.2012226061482968,0.21573612,0.2104564
T05,24,24,1.911511882636929,0.09023405743316587,0.10501457,0.10696776
T05,23,23,3.329943634798029,3.5451501725030337,0.09933811,0.09314283
T05,16,16,3.3322270013039748,2.938951701510986,0.049684316,0.04828046
T05,15,15,2.022287617665181,0.248110557192884,0.03930798,0.042603996
T05,33,33,2.0256378362912324,0.15897734957006038,0.29773965,0.30591866
T05,30,27,3.3806012349431755,0.16898770175858965,0.2155225,0.21042588
T05,30,42,-176.4138496665196,1.9944200296479306,0.9028018,0.8073091
T05,14,14,0.9835871521214781,2.27865819385234,0.035981454,0.036134046
T05,11,11,2.0661986543241184,0.3793480335370455,0.0252389,0.025330454
T05,30,9,5.552657147140228,0.16924094968885742,0.2173231,0.20844218
T05,30,21,3.51444874418017,0.16308740579177242,0.2084727,0.2160108
T05,41,41,2.2843381310576194,0.11120224857088826,0.6950921,0.68779814
T05,30,37,-178.49326985680324,0.25159337113491287,0.45292684,0.4677589
T05,30,22,3.680462908222778,0.21483047894290347,0.21131092,0.21488161
T05,30,28,3.767682371753169,0.3419880962286545,0.21622443,0.2084727
T05,30,10,6.957433903201224,1.8003196351218669,0.20874736,0.21622443
T05,45,45,2.5935082555889877,3.0264987879438805,1.0000342,0.99966794
T05,30,47,-179.03787120513567,1.446623423819983,1.0000342,1.0000037
T05,30,29,3.831388497133758,3.0999659819094667,0.21204337,0.2158582
T05,30,13,7.57567801465902,1.9117373954672086,0.21540043,0.21079211
T05,30,48,-179.37775225298657,1.4673910622045172,1.0000342,1.0000037
T05,10,10,0.5226545182810836,1.7279086711977567,0.02145459,0.023163633
T05,30,38,-177.24601387381145,1.3530393409818242,0.47190943,0.5077078
T05,30,12,5.4327463624321055,0.20705106213536492,0.2076487,0.21631598
T05,30,18,5.131950870970257,0.36592781838269994,0.20838115,0.21704842
T05,36,36,2.8327372302937714,2.3690669772966406,0.43543968,0.39329347
T05,30,46,-178.621122488566,1.5470857221639627,1.0000342,1.0000037
T05,30,17,4.192460560506863,2.1638376697495203,0.20972396,0.21588872
T05,39,39,4.284675850034358,3.693260135108614,0.5739332,0.55760574
T05,30,20,6.378675979248042,2.6604426174119755,0.21649909,0.20758766
T05,30,32,1.3957134888267615,2.0285960158077487,0.29188007,0.25965244
T05,28,28,1.9403984159393821,0.061305388533646345,0.16229802,0.17066012
T05,30,8,5.565227231158482,0.27090285176407375,0.21790294,0.20926619
